latitude,longitude,depth,temperature,salinity
53.8506151,-9.7771202,12.65792325,9.249683833,34.05122696
53.8506151,-9.7771202,12.95574179,9.25093391,34.0492011
53.8506151,-9.7771202,13.25355993,9.252292858,34.05229591
53.8506151,-9.7771202,13.55137725,9.252451326,34.05369453
53.8506151,-9.7771202,13.84919381,9.254491473,34.05657063
53.8506151,-9.7771202,14.14701048,9.257858264,34.05078148
53.8506151,-9.7771202,14.44482702,9.259491733,34.05579208
53.8506151,-9.7771202,14.74264299,9.261328343,34.0535608
53.8506151,-9.7771202,15.04045817,9.263232938,34.06048642
53.8506151,-9.7771202,15.3382719,9.266113132,34.06436896
53.8506151,-9.7771202,15.63608505,9.267524803,34.06342507
53.8506151,-9.7771202,15.93389779,9.268472773,34.06555579
53.8506151,-9.7771202,16.23170987,9.268822326,34.06652017
53.8506151,-9.7771202,16.52952094,9.269612908,34.07171004
53.8506151,-9.7771202,16.82733078,9.270982133,34.0748395
53.8506151,-9.7771202,17.12514021,9.272853198,34.0729865
53.8506151,-9.7771202,17.4229493,9.274015218,34.07538608
53.8506151,-9.7771202,17.72075732,9.275327602,34.08009003
53.8506151,-9.7771202,18.01856381,9.276924519,34.0863732
53.8506151,-9.7771202,18.31636957,9.278664139,34.08431878
53.8506151,-9.7771202,18.61417571,9.279938057,34.08061111
53.8506151,-9.7771202,18.91198099,9.279465892,34.08902361
53.8506151,-9.7771202,19.20978528,9.279700537,34.08638434
53.8506151,-9.7771202,19.50758999,9.281059663,34.08263616
53.8506151,-9.7771202,19.80539409,9.282034607,34.08928632
53.8506151,-9.7771202,20.1031972,9.2828047,34.08867759
53.8506151,-9.7771202,20.40099963,9.284239073,34.09275541
53.8506151,-9.7771202,20.69880177,9.285128958,34.08875069
53.8506151,-9.7771202,20.99660351,9.285750104,34.09358337
53.8506151,-9.7771202,21.29440449,9.286540076,34.09283955
53.8506151,-9.7771202,21.59220533,9.287746023,34.09216432
53.8506151,-9.7771202,21.89000571,9.287136178,34.09410513
53.8506151,-9.7771202,22.18780527,9.28893197,34.0965229
53.8506151,-9.7771202,22.48560387,9.290750065,34.100421
53.8506151,-9.7771202,22.78340184,9.292257966,34.09981634
53.8506151,-9.7771202,23.08119982,9.291961784,34.09754489
53.8506151,-9.7771202,23.37899768,9.292324459,34.09789789
53.8506151,-9.7771202,23.67679449,9.292153143,34.10382899
53.8506151,-9.7771202,23.97459094,9.292659097,34.09818893
53.8506151,-9.7771202,24.27238749,9.292670884,34.10007202
53.8506151,-9.7771202,24.57018373,9.293260885,34.09800198
53.8506151,-9.7771202,24.86797998,9.294728356,34.09753561
53.8506151,-9.7771202,25.16577568,9.295635001,34.10026308
53.8506151,-9.7771202,25.46357135,9.295413585,34.09500172
53.8506151,-9.7771202,25.76136701,9.294028176,34.09705224
53.8506151,-9.7771202,26.05916163,9.293961975,34.10078247
53.8506151,-9.7771202,26.35695584,9.29378834,34.09771777
53.8506151,-9.7771202,26.65475024,9.293548365,34.0959803
53.8506151,-9.7771202,26.95254434,9.29543488,34.09776336
53.8506151,-9.7771202,27.25033854,9.296249531,34.09266958
53.8506151,-9.7771202,27.54813236,9.295732099,34.09821006
53.8506151,-9.7771202,27.84592527,9.29446458,34.09731993
53.8506151,-9.7771202,28.14371762,9.294141801,34.09979227
53.8506151,-9.7771202,28.44150966,9.294308935,34.09702382
53.8506151,-9.7771202,28.73930138,9.294350474,34.09970416
