Day,PCT.10 (ºC),mean (ºC),PCT.90 (ºC)
28-Jun,13.07,13.96,15.05
29-Jun,13.12,14.01,15.10
30-Jun,13.17,14.06,15.16
01-Jul,13.23,14.11,15.21
02-Jul,13.28,14.17,15.27
03-Jul,13.33,14.22,15.33
04-Jul,13.37,14.27,15.38
05-Jul,13.41,14.31,15.44
06-Jul,13.45,14.36,15.50
07-Jul,13.49,14.41,15.55
08-Jul,13.53,14.45,15.61
09-Jul,13.57,14.50,15.66
10-Jul,13.61,14.54,15.72
11-Jul,13.64,14.59,15.77
12-Jul,13.68,14.63,15.82
13-Jul,13.72,14.68,15.86
14-Jul,13.76,14.72,15.90
15-Jul,13.80,14.77,15.95
16-Jul,13.84,14.81,15.99
17-Jul,13.88,14.85,16.03
18-Jul,13.92,14.89,16.07
19-Jul,13.96,14.94,16.11
20-Jul,13.99,14.98,16.15
21-Jul,14.03,15.02,16.20
22-Jul,14.07,15.06,16.24
23-Jul,14.10,15.10,16.28
24-Jul,14.13,15.13,16.32
25-Jul,14.16,15.17,16.36
26-Jul,14.19,15.20,16.39
27-Jul,14.22,15.23,16.42
28-Jul,14.24,15.26,16.44
29-Jul,14.27,15.28,16.46
30-Jul,14.28,15.30,16.47
31-Jul,14.30,15.32,16.48
01-Aug,14.31,15.33,16.49
02-Aug,14.32,15.34,16.49
03-Aug,14.32,15.35,16.49
04-Aug,14.33,15.35,16.48
05-Aug,14.34,15.36,16.48
06-Aug,14.34,15.36,16.46
07-Aug,14.35,15.36,16.45
08-Aug,14.35,15.35,16.44
09-Aug,14.35,15.35,16.43
10-Aug,14.36,15.35,16.42
11-Aug,14.36,15.35,16.41
12-Aug,14.36,15.34,16.40
13-Aug,14.35,15.34,16.39
14-Aug,14.35,15.33,16.39
15-Aug,14.34,15.33,16.39
16-Aug,14.33,15.32,16.39
17-Aug,14.32,15.32,16.39
18-Aug,14.31,15.31,16.39
19-Aug,14.29,15.31,16.39
20-Aug,14.28,15.30,16.39
21-Aug,14.26,15.29,16.38
22-Aug,14.24,15.28,16.38
23-Aug,14.21,15.26,16.37
24-Aug,14.19,15.24,16.35
25-Aug,14.17,15.22,16.34
26-Aug,14.14,15.20,16.32
27-Aug,14.12,15.18,16.30
28-Aug,14.10,15.15,16.27
29-Aug,14.07,15.12,16.25
30-Aug,14.05,15.10,16.22
31-Aug,14.02,15.07,16.20
01-Sep,14.00,15.04,16.17
02-Sep,13.97,15.01,16.15
03-Sep,13.95,14.99,16.13
04-Sep,13.92,14.96,16.11
05-Sep,13.90,14.94,16.09
06-Sep,13.87,14.91,16.07
07-Sep,13.84,14.89,16.05
08-Sep,13.82,14.86,16.02
09-Sep,13.79,14.83,16.00
10-Sep,13.75,14.80,15.97
11-Sep,13.72,14.77,15.95
12-Sep,13.69,14.74,15.92
13-Sep,13.66,14.71,15.88
14-Sep,13.63,14.68,15.85
15-Sep,13.59,14.64,15.81
16-Sep,13.56,14.60,15.76
17-Sep,13.52,14.56,15.72
18-Sep,13.49,14.52,15.67
19-Sep,13.45,14.48,15.62
