% Device,CC2325001
% File name,CC2325001_20240218_121934
% Cast time (UTC),2024-02-18 12:19:34
% Cast time (local),2024-02-18 12:19:34
% Sample type,Cast
% Cast data,Processed
% Location source,Manual
% Default latitude,32
% Default altitude,0
% Start latitude,
% Start longitude,
% Start altitude,
% Start GPS horizontal error(Meter),
% Start GPS vertical error(Meter),
% Start GPS number of satellites,
% End latitude,
% End longitude,
% End altitude,
% End GPS horizontal error(Meter),
% End GPS vertical error(Meter),
% End GPS number of satellites,
% Cast duration (Seconds),36.4
% Samples per second,5
% Electronics calibration date,0001-01-01
% Conductivity calibration date,2023-07-20
% Temperature calibration date,2023-07-19
% Pressure calibration date,2023-06-26
% 
Pressure (Decibar),Depth (Meter),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),Specific conductance (MicroSiemens per Centimeter),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter)
0.15,0.15021236332776522,9.4748049636253757,28082.488281250004,40729.00239882437,25.339452924544336,1476.1528873651762,1019.499310976182
0.44999999999999996,0.45059465039841484,9.427268616011764,28409.267242411,41259.833243346737,25.698300110746921,1476.4165675057391,1019.7872656890468
0.74999999999999989,0.75083235532857651,9.3599841196897,29237.312363032052,42545.58480176633,26.574765220382883,1477.2371988922723,1020.4818468141929
1.05,1.0508712645396139,9.2407255178094161,29962.179452623328,43752.255537107834,27.393544917947956,1477.7945253842511,1021.1394395497379
1.35,1.3506008861377212,9.1162201732051749,31670.308102076509,46415.323768707414,29.22566272418862,1479.5724808031703,1022.5897731500484
1.65,1.6499701054621969,9.0914628683482039,32905.973853899981,48261.311022313334,30.511506651377413,1481.0585691360061,1023.5996791305181
1.9500000000000002,1.949140977354173,9.0658899933361337,33309.244639495679,48889.438447096989,30.948198281446544,1481.5031695405826,1023.9463234178312
2.25,2.2482092837002154,9.0000066844429814,33680.509969361949,49530.151981959425,31.388779990725467,1481.8030762911783,1024.3022768765102
2.6252735001700263,2.6222292366759867,9.01861650793132,33854.840433342382,49759.28463382578,31.552336107193369,1482.0789139219137,1024.429064488307
