% Device,CC2325001
% File name,CC2325001_20240402_140114
% Cast time (UTC),2024-04-02 14:01:14
% Cast time (local),2024-04-02 15:01:14
% Sample type,Cast
% Cast data,Processed
% Location source,GPS
% Default latitude,32
% Default altitude,0
% Start latitude,53.7999907
% Start longitude,-9.7769698
% Start altitude,59.860000610351562
% Start GPS horizontal error(Meter),8.5069999694824219
% Start GPS vertical error(Meter),14.12399959564209
% Start GPS number of satellites,11
% End latitude,53.8000591
% End longitude,-9.7774081
% End altitude,56.891998291015625
% End GPS horizontal error(Meter),15.032999992370606
% End GPS vertical error(Meter),24.177999496459961
% End GPS number of satellites,10
% Cast duration (Seconds),101
% Samples per second,5
% Electronics calibration date,0001-01-01
% Conductivity calibration date,2023-07-20
% Temperature calibration date,2023-07-19
% Pressure calibration date,2023-06-26
% 
Pressure (Decibar),Depth (Meter),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),Specific conductance (MicroSiemens per Centimeter),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter)
0.15,0.14893640312443246,9.4315385818481445,36556.24609375,53085.408900405593,33.967275062494387,1486.5161294944749,1026.2410422698354
0.44999999999999996,0.4467901006659154,9.4267235169051009,36568.6399141778,53110.833937218747,33.98452765484938,1486.5245956826948,1026.2566821954365
0.74999999999999989,0.74464777271406724,9.4178497606618059,36552.081351160748,53100.47200121473,33.975692163289139,1486.4863260917894,1026.2525828363853
1.05,1.0425061784023855,9.41537623516856,36547.060535966259,53096.994038698555,33.97270959488889,1486.4785780411514,1026.2520166322322
1.35,1.3403634294421154,9.4113571900497313,36552.025116387551,53110.409035184479,33.981525887681379,1486.4796238501401,1026.2609292844802
1.65,1.6382184484915912,9.3991443090227,36545.273083624277,53119.450814418458,33.98600761424845,1486.4454419107046,1026.2677870404029
1.9500000000000002,1.9360728396911653,9.400572831723407,36542.676539346794,53113.470985064509,33.98182405993807,1486.450471007131,1026.265645662244
2.25,2.2339276029111312,9.3996979371136931,36540.106714357964,53111.086587383943,33.979857531305242,1486.4498007032751,1026.2656132973152
2.55,2.531782103019788,9.3936919860576218,36534.594669397273,53112.347875022439,33.97972227445203,1486.432629674239,1026.2678486394445
2.85,2.8296354142351205,9.3861145528722378,36532.403132314466,53120.865220381449,33.984518121140482,1486.4157493521511,1026.274195930082
3.15,3.1274866694084031,9.3797858343657676,36533.909852883116,53132.835132969478,33.991957296343109,1486.4066629919666,1026.2824070130221
3.4499999999999997,3.4253367391082494,9.377180659226779,36529.874367579076,53130.992226633505,33.990117527364063,1486.3998229686788,1026.2827551318044
3.75,3.7231861097273957,9.3745641870366629,36531.396410720525,53137.2502818483,33.994043547122665,1486.3999988118892,1026.2876144489023
4.05,4.0210349032722341,9.3720073132006441,36526.377303733367,53133.901914575305,33.991138928043483,1486.3920304591325,1026.2871217839802
4.35,4.3188832131938035,9.3711671312366533,36529.092060766408,53139.149917851675,33.994611040180125,1486.3981417265406,1026.2913371344366
4.6499999999999995,4.6167305883341685,9.3694220622982627,36528.819982133515,53141.452183747977,33.99585059831837,1486.3982127662625,1026.2939535667922
4.9499999999999993,4.9145774043351862,9.3674454305735928,36527.06690631884,53141.95810699393,33.995776544780583,1486.3958290742817,1026.295580256203
5.2499999999999991,5.2124237830578206,9.36696069839169,36527.168692713763,53142.8557405473,33.99620447042831,1486.3995127666467,1026.2973569090054
5.55,5.51026986955883,9.3678962445420542,36527.440936276769,53141.805184071563,33.995457858438357,1486.4069498932711,1026.2979839542202
5.85,5.8081157510538386,9.3650741993787125,36524.18497879093,53141.431860274082,33.994631293909563,1486.4005544088934,1026.2991595695978
6.1499999999999995,6.105961394138137,9.3645095830274343,36523.06250000179,53140.671790701854,33.99386708693018,1486.4024865485476,1026.3000168238057
6.4499999999999993,6.4038068684679628,9.3632638959458543,36520.978327198078,53139.565609637553,33.9927545688212,1486.4015025611352,1026.3007124070084
6.7499999999999991,6.70165198646268,9.3597895875967758,36518.195573486708,53140.889411425662,33.993038342860274,1486.3940804970218,1026.3028623768003
7.0499999999999989,6.9994959484412753,9.3588113754755078,36523.212615490884,53149.703312438032,33.999027840225857,1486.4027688510932,1026.3090690165868
7.35,7.2973391269113188,9.3572521791765588,36519.404453588024,53146.573339357325,33.996427461341518,1486.3988163474994,1026.3086518401726
7.6499999999999995,7.5951825453535262,9.3553455879927636,36514.677653321676,53142.643493133131,33.993205669464565,1486.3928325125187,1026.3078050954821
7.9499999999999993,7.89302538810381,9.3535338134736623,36517.524201016466,53149.589208627614,33.997740063870729,1486.3966914001435,1026.3130091633889
