% Device,CC2325001
% File name,CC2325001_20240402_151118
% Cast time (UTC),2024-04-02 15:11:18
% Cast time (local),2024-04-02 16:11:18
% Sample type,Cast
% Cast data,Processed
% Location source,GPS
% Default latitude,32
% Default altitude,0
% Start latitude,53.8826672
% Start longitude,-9.6013921
% Start altitude,52.465000152587891
% Start GPS horizontal error(Meter),9.4200000762939453
% Start GPS vertical error(Meter),15.432999610900879
% Start GPS number of satellites,12
% End latitude,53.8825793
% End longitude,-9.6014009
% End altitude,53.7130012512207
% End GPS horizontal error(Meter),14.378000259399414
% End GPS vertical error(Meter),27.398000717163086
% End GPS number of satellites,12
% Cast duration (Seconds),44.4
% Samples per second,5
% Electronics calibration date,0001-01-01
% Conductivity calibration date,2023-07-20
% Temperature calibration date,2023-07-19
% Pressure calibration date,2023-06-26
% 
Pressure (Decibar),Depth (Meter),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),Specific conductance (MicroSiemens per Centimeter),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter)
0.15,0.14953595079155002,9.86265457442771,31818.306179136427,45633.797207278134,28.772332269071338,1481.7620953527294,1022.116643930967
0.44999999999999996,0.44821101717756173,9.573074818771758,34835.089466911959,50378.928761057061,32.067210660111073,1484.7167724752515,1024.7345768532493
0.74999999999999989,0.74639039456122291,9.49871314573774,35771.08558281976,51844.086809422377,33.09434332801991,1485.7039929387579,1025.5504224521972
1.05,1.0444234072260374,9.479167630036331,35985.553596204292,52184.487140657766,33.333084821077371,1485.9292901336914,1025.741556354265
1.35,1.3424232786346615,9.47589505396194,36026.775024678762,52249.223650741158,33.378464122012069,1485.977737341439,1025.7789232770467
1.65,1.64041725976686,9.4952603325213278,36051.080211806591,52255.121231565943,33.385314660653947,1486.0617463819895,1025.7824964765591
1.9500000000000002,1.9384164287410635,9.5347270965576172,36044.8515625,52186.385405218549,33.3420176747575,1486.1577720756507,1025.7435983158725
2.2685431531957683,2.2548359016796735,9.5165169383757267,36065.260002913048,52243.481095300514,33.379826454431367,1486.142776941598,1025.7775610400408
