% Device,CC2325001
% File name,CC2325001_20240402_150101
% Cast time (UTC),2024-04-02 15:01:01
% Cast time (local),2024-04-02 16:01:01
% Sample type,Cast
% Cast data,Processed
% Location source,GPS
% Default latitude,32
% Default altitude,0
% Start latitude,53.8691005
% Start longitude,-9.6435372
% Start altitude,56.393001556396484
% Start GPS horizontal error(Meter),4.60099983215332
% Start GPS vertical error(Meter),5.7109999656677246
% Start GPS number of satellites,14
% End latitude,53.8691385
% End longitude,-9.6435013
% End altitude,58.847999572753906
% End GPS horizontal error(Meter),5.97599983215332
% End GPS vertical error(Meter),6.9790000915527344
% End GPS number of satellites,15
% Cast duration (Seconds),51.8
% Samples per second,5
% Electronics calibration date,0001-01-01
% Conductivity calibration date,2023-07-20
% Temperature calibration date,2023-07-19
% Pressure calibration date,2023-06-26
% 
Pressure (Decibar),Depth (Meter),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),Specific conductance (MicroSiemens per Centimeter),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter)
0.15,0.14904614954858222,9.4218177795410156,35599.875,51711.20715937201,32.989357245133831,1485.2845906602533,1025.478043510451
0.44999999999999996,0.4471217839957537,9.4067374243050175,35588.534279189473,51717.391626399352,32.99144477051771,1485.2368472264559,1025.4834650069536
0.74999999999999989,0.74519808913455565,9.3894405913811774,35601.085032716968,51761.651862460742,33.020206314556283,1485.2135845698494,1025.5100929985053
1.05,1.0432677077502333,9.37826248157838,35611.808724823561,51794.0788076567,33.041453704873447,1485.20354016327,1025.5298637350522
1.35,1.3413329373685288,9.3710987885873038,35615.81974631983,51810.708708192105,33.052076707112882,1485.1952079113203,1025.5406838370786
1.65,1.6393933276816286,9.36638666687711,35637.451881748464,51849.285505619395,33.078616411119313,1485.2153310423112,1025.5635545908353
1.9500000000000002,1.9374500527609566,9.36078903645917,35633.155430503051,51851.480175111537,33.079227459119544,1485.2004880887894,1025.5662957505
2.25,2.235503057678963,9.3552514428364777,35654.33991191705,51890.669423919251,33.1060819697584,1485.2179709355919,1025.5895456493215
2.55,2.5335475440114879,9.3480413563713221,35689.182592349374,51952.281968662064,33.148599169830341,1485.2484880116099,1025.6253108725412
2.85,2.8315820796147544,9.3389301828295732,35718.627175063833,52008.939977000431,33.1873284223587,1485.2674028676017,1025.6584206529392
3.15,3.1296074098581248,9.3319380864068187,35747.318814647959,52061.317838624345,33.223331813243419,1485.2907542255464,1025.6890600175454
3.4499999999999997,3.4276250625496947,9.32515780638176,35766.274606297789,52099.21365554232,33.249092570629834,1485.3023480560071,1025.7116569311513
3.75,3.7256374846501181,9.3157437597670949,35771.439899140678,52121.032476469722,33.2630601653286,1485.2898460834131,1025.7254547756336
4.05,4.0236381771474665,9.3082991354610449,35844.96408223427,52239.494503510563,33.345898803072494,1485.3688781877816,1025.7927951542181
4.35,4.3216191837324232,9.30058217360896,35919.659127940206,52360.130428889584,33.430262864856807,1485.4487946406705,1025.8613764483853
4.6499999999999995,4.6195880645621834,9.2965163939588269,35932.517600452476,52385.083644795224,33.447242757653434,1485.4596033799971,1025.8766739889879
4.9499999999999993,4.9175515679214969,9.2936879570478776,35955.164120825495,52422.422700437732,33.473200850197607,1485.48594512801,1025.8987947858072
5.2499999999999991,5.2155089737988352,9.2902565622257889,35974.836703181049,52456.353946927011,33.496651415492444,1485.5070062949794,1025.9190516974957
5.55,5.5134622217317055,9.2893685269095609,35983.126419482134,52469.800356987253,33.505931927517366,1485.5200439745197,1025.9278174695376
5.85,5.81141049595733,9.2884845736667021,36012.542971402567,52514.048694732825,33.53708997268275,1485.5598894916909,1025.9536935381555
6.1499999999999995,6.109348450184708,9.2847500632715736,36063.126244436768,52593.538202675023,33.592863110561538,1485.6194300723073,1025.999281038286
6.4499999999999993,6.4072749403217131,9.2813241174362577,36099.436519495139,52651.753467617884,33.633576379997443,1485.6616625270374,1026.0330410591312
6.7499999999999991,6.7051843437629515,9.28116926222416,36201.721747854543,52801.17704116166,33.73961023786724,1485.7959056866725,1026.1173686111031
7.0499999999999989,7.0030761529064582,9.2787416600879329,36243.419504404847,52865.737989741421,33.785006311354465,1485.8475465918486,1026.1546335135708
7.35,7.3009591376620593,9.276094436647675,36268.412109378005,52906.278713306616,33.813296356995934,1485.8774301980561,1026.1785538025324
7.6499999999999995,7.5988373138238146,9.2756821823904083,36278.236931295658,52921.247107860756,33.823739769422289,1485.8936437758553,1026.1881535161515
7.9499999999999993,7.896713248740415,9.2760123527488929,36284.737338043728,52930.219776767204,33.8300314274769,1485.9074925472335,1026.1943857764888
8.25,8.19458740321848,9.2759084701538779,36290.992187499869,52939.504461421711,33.836479921525161,1485.919942546632,1026.20081073054
8.5499999999999989,8.4924608122035874,9.2737259402623859,36285.908716457016,52935.459628319622,33.833137332621625,1485.9127781553352,1026.1999121420122
8.85,8.7903328061163553,9.269778251647951,36293.570312500007,52952.735856635918,33.844690919295914,1485.917392826397,1026.2109507555203
9.2122320226720866,9.1499935004020383,9.271344193429373,36293.652822181961,52950.43669331813,33.843124249266204,1485.9271672763191,1026.211119416105
