% Device,CC2325001
% File name,CC2325001_20240524_170654
% Cast time (UTC),2024-05-24 17:06:54
% Cast time (local),2024-05-24 18:06:54
% Sample type,Cast
% Cast data,Processed
% Location source,GPS
% Default latitude,32
% Default altitude,0
% Start latitude,53.8690207
% Start longitude,-9.6431641
% Start altitude,51.707000732421875
% Start GPS horizontal error(Meter),21.670999526977539
% Start GPS vertical error(Meter),21.569000244140625
% Start GPS number of satellites,7
% End latitude,53.8687803
% End longitude,-9.6433018
% End altitude,58.423999786376953
% End GPS horizontal error(Meter),13.567999839782715
% End GPS vertical error(Meter),14.725000381469727
% End GPS number of satellites,8
% Cast duration (Seconds),66.6
% Samples per second,5
% Electronics calibration date,0001-01-01
% Conductivity calibration date,2023-07-20
% Temperature calibration date,2023-07-19
% Pressure calibration date,2023-06-26
% 
Pressure (Decibar),Depth (Meter),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),Specific conductance (MicroSiemens per Centimeter),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter)
0.15,0.14899401027489956,12.81149378552284,39978.0234375,52864.908834687019,34.230434986255041,1498.6538197615248,1025.8353966000921
0.44999999999999996,0.4469673353555263,12.808573424851129,39974.101089084317,52863.805042178363,34.229209395764769,1498.6475393226456,1025.8363675684382
0.74999999999999989,0.74494426627780275,12.799884961079592,39972.458229083029,52873.782909975016,34.235396776183563,1498.6307393377219,1025.8442232588861
1.05,1.0429190814474423,12.790286579731427,39968.689873813652,52882.226480984929,34.24038018273184,1498.6094562665073,1025.8513250622259
1.35,1.34089074759683,12.763329026354608,39954.429357731155,52901.095305775874,34.251097428570709,1498.5367926769668,1025.8662956922217
1.65,1.6388581387398786,12.723140371856548,39923.937022897524,52917.037963099821,34.258311873195673,1498.4155196668121,1025.8811511552044
1.9500000000000002,1.9368240780365353,12.699314311056487,39887.311643384463,52901.906005869023,34.24476643052855,1498.3243996998347,1025.8766824726376
2.25,2.2347924014517031,12.676154035793287,39841.981063393578,52874.267667478351,34.222253228598262,1498.2248039606554,1025.86512433983
2.55,2.5327609360796783,12.648526715442856,39820.930387194348,52885.111133525985,34.227061620957052,1498.1426078226837,1025.8756178127221
2.85,2.8307244398659641,12.610270346338973,39805.880914671,52918.897615084214,34.247307699062262,1498.042936906267,1025.9001559827309
3.15,3.1286811799093011,12.579942534825994,39797.58650262939,52950.568598858641,34.266844523505512,1497.9690187417068,1025.9225835535531
3.4499999999999997,3.4266323862128925,12.54985565745611,39781.042896741092,52970.966466074744,34.278251808713492,1497.8861738115952,1025.9386532715776
3.75,3.7245793555105879,12.515078271716314,39755.37827590794,52985.8660935817,34.285174274145263,1497.7820992676925,1025.9521520359619
4.05,4.0225267381927194,12.499531774014988,39713.534807650707,52952.0409041079,34.25896209261964,1497.7033965393243,1025.9361961698014
4.35,4.320473992462829,12.467886908332513,39696.691628837521,52974.286655073338,34.271502104750745,1497.6164369013131,1025.953426130872
4.6499999999999995,4.6184176519146476,12.44424349021323,39677.055494052249,52981.515709380808,34.274049477800027,1497.54454203086,1025.9613426799631
4.9499999999999993,4.9163578626318323,12.42099034321329,39669.002656930126,53003.678274009842,34.28741049340438,1497.4868006978975,1025.9775673724803
