% Device,CC2325001
% File name,CC2325001_20240524_172715
% Cast time (UTC),2024-05-24 17:27:15
% Cast time (local),2024-05-24 18:27:15
% Sample type,Cast
% Cast data,Processed
% Location source,GPS
% Default latitude,32
% Default altitude,0
% Start latitude,53.8618608
% Start longitude,-9.6587658
% Start altitude,59.430000305175781
% Start GPS horizontal error(Meter),9.0959997177124023
% Start GPS vertical error(Meter),11.798999786376953
% Start GPS number of satellites,8
% End latitude,53.8618278
% End longitude,-9.6588713
% End altitude,62.195999145507812
% End GPS horizontal error(Meter),22.173000335693359
% End GPS vertical error(Meter),25.871000289916992
% End GPS number of satellites,7
% Cast duration (Seconds),92
% Samples per second,5
% Electronics calibration date,0001-01-01
% Conductivity calibration date,2023-07-20
% Temperature calibration date,2023-07-19
% Pressure calibration date,2023-06-26
% 
Pressure (Decibar),Depth (Meter),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),Specific conductance (MicroSiemens per Centimeter),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter)
0.15,0.14898670263376218,12.823628522520931,40064.970371222094,52962.885815366215,34.302502262388046,1498.7799822665106,1025.8888491374735
0.44999999999999996,0.44694293652386535,12.819846878446137,40062.843402220686,52965.369652319838,34.303780431491958,1498.7737965187757,1025.8919315219605
0.74999999999999989,0.74490463190625333,12.815944473892841,40053.635826818776,52958.661199736496,34.298400900612151,1498.7593026424806,1025.889877877421
1.05,1.0428658987330974,12.813523045908122,40056.287541822734,52965.558767417344,34.303009747228664,1498.7616214084849,1025.8952723111449
1.35,1.3408268791386733,12.815527178441888,40052.955017163913,52958.345428009205,34.297875143178786,1498.7671889067506,1025.8922399063133
1.65,1.6387874712484969,12.818934951401339,40063.65604871299,52967.721196004328,34.304877382855054,1498.7918608661746,1025.8983358846208
1.9500000000000002,1.9367472030805664,12.821080890911453,40064.884156893095,52966.339423843434,34.30397282058837,1498.8029232636336,1025.8985535831566
2.25,2.2347060820531377,12.821845255720838,40072.296581050534,52975.068125462887,34.310234580491034,1498.8178676344946,1025.9045985503219
2.55,2.5326641761934265,12.817314864473987,40064.756604576047,52971.445418793242,34.307020687111113,1498.8038432566282,1025.9043477988869
2.85,2.8306223818923675,12.815081882882684,40060.182835978572,52968.525838512265,34.3045522972142,1498.798392371162,1025.9042200566191
3.15,3.1285795557943561,12.807455372028851,40059.499745499976,52978.30725621547,34.3107075830022,1498.7851213264162,1025.9118427501012
3.4499999999999997,3.4265355666770909,12.807186750008999,40058.53958583354,52977.413858787055,34.3099067336474,1498.7882248768822,1025.9126186416418
3.75,3.7244909397440904,12.807675493620836,40062.861874622868,52982.445166964237,34.313467062439507,1498.799041379179,1025.9166246948189
4.05,4.02244605035383,12.807944191532162,40059.067630186481,52977.050837848124,34.309468162347827,1498.8001474288569,1025.9148157344912
4.35,4.32040096696981,12.808902108895339,40063.3254173519,52981.339291423334,34.312540011330114,1498.8119547816048,1025.9183503363825
4.6499999999999995,4.618354889854154,12.810923867209926,40069.100836385245,52986.143603771663,34.316094838709972,1498.8278968504562,1025.9220486923919
4.9499999999999993,4.9163084865860727,12.81682478820408,40073.177616703884,52983.26583622062,34.314497307717446,1498.8507072743419,1025.9209860813974
5.2499999999999991,5.2142624223768772,12.823485395499478,40078.423735656215,52980.870637089734,34.313326656854116,1498.8765641454947,1025.9201035098972
5.55,5.5122171543306413,12.824595325168495,40072.410509110108,52971.367128475154,34.306443960239953,1498.8770629847238,1025.9158931085119
5.85,5.8101726605911264,12.819770063572852,40063.860838642926,52966.822340931583,34.302533258691533,1498.8612252256769,1025.9151610563179
6.1499999999999995,6.108127445833226,12.818047702732041,40068.2997812608,52975.103442960382,34.30821435764291,1498.867157475755,1025.9212480501665
6.4499999999999993,6.4060805814788075,12.813294437098143,40068.471341470577,52981.989453635,34.312573627437537,1498.8613748490143,1025.92691061013
6.7499999999999991,6.70403163631985,12.801316248162024,40064.418729169462,52993.417565344,34.319467938401466,1498.8344095098112,1025.9359673009433
7.0499999999999989,7.0019819962251217,12.794036515390491,40048.63271720687,52982.740677749862,34.310868767697976,1498.8047747800408,1025.9320860373853
7.35,7.2999319292427707,12.78703160287794,40048.149234476565,52991.922804841874,34.316652244496041,1498.7931321584269,1025.9392968541117
7.6499999999999995,7.5978831140264047,12.782424892258062,40020.029415055375,52961.17113866852,34.293820513755129,1498.7555428082803,1025.9238554432698
