% Device,CC2325001
% File name,CC2325001_20240506_154908
% Cast time (UTC),2024-05-06 15:49:08
% Cast time (local),2024-05-06 16:49:08
% Sample type,Cast
% Cast data,Processed
% Location source,GPS
% Default latitude,32
% Default altitude,0
% Start latitude,53.8944852
% Start longitude,-9.6381664
% Start altitude,56.087001800537109
% Start GPS horizontal error(Meter),17.554000854492188
% Start GPS vertical error(Meter),18.197000503540039
% Start GPS number of satellites,5
% End latitude,53.8945441
% End longitude,-9.6382083
% End altitude,50.216999053955078
% End GPS horizontal error(Meter),25.079999923706055
% End GPS vertical error(Meter),33.926998138427734
% End GPS number of satellites,6
% Cast duration (Seconds),41.6
% Samples per second,5
% Electronics calibration date,0001-01-01
% Conductivity calibration date,2023-07-20
% Temperature calibration date,2023-07-19
% Pressure calibration date,2023-06-26
% 
Pressure (Decibar),Depth (Meter),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),Specific conductance (MicroSiemens per Centimeter),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter)
0.15,0.14905754464667931,11.863676632639049,38261.357599395975,51895.742766904892,33.43083200260746,1494.4847200985892,1025.397260456853
0.44999999999999996,0.447152104831842,11.809436286488953,38239.311287867604,51942.266909835147,33.458028929136411,1494.3355794215443,1025.4298511433487
0.74999999999999989,0.74524571451207033,11.769717373613585,38204.963548809421,51951.668761296743,33.460180092310019,1494.2062789168444,1025.4402641072547
1.05,1.0433316309626537,11.720400433612152,38202.247173781027,52017.743165475476,33.501884201797495,1494.0911047891511,1025.4831718157084
1.35,1.3414055727724183,11.654119538038394,38175.658878266986,52075.536610079515,33.535664365526465,1493.9076564642908,1025.5230458697715
1.65,1.6394775243107291,11.635957855323611,38118.915975917385,52023.910670563084,33.496418506751617,1493.8027764042352,1025.4972557790263
1.9500000000000002,1.9375510158918885,11.619554968363019,38118.622155707657,52046.812404792647,33.510835095693935,1493.7682767174445,1025.5128383488252
2.25,2.2356198563087579,11.597155085485364,38112.9417856839,52070.907829663105,33.525412319539925,1493.7131980421439,1025.5296499295496
2.55,2.5336857445754,11.587278852667494,38104.895513835734,52073.9676586492,33.52633930163298,1493.6850695477613,1025.5335420000013
2.85,2.8317494947767958,11.581946458152626,38111.75082108003,52090.928054740609,33.537760015987736,1493.6852513506246,1025.5447521781105
3.15,3.1298112690052879,11.570855140686035,38100.82421875,52091.787397612476,33.536965525765119,1493.650838225301,1025.547528928897
3.5079084909879246,3.4854053590577942,11.566150126982668,38105.757442253846,52105.235730210334,33.545913118452361,1493.6511755165898,1025.5569620012586
