% Device,CC2325001
% File name,CC2325001_20240524_163835
% Cast time (UTC),2024-05-24 16:38:35
% Cast time (local),2024-05-24 17:38:35
% Sample type,Cast
% Cast data,Processed
% Location source,GPS
% Default latitude,32
% Default altitude,0
% Start latitude,53.8819868
% Start longitude,-9.6004364
% Start altitude,59.854000091552734
% Start GPS horizontal error(Meter),14.878000259399414
% Start GPS vertical error(Meter),19.097999572753906
% Start GPS number of satellites,6
% End latitude,53.8815252
% End longitude,-9.6021076
% End altitude,56.444000244140625
% End GPS horizontal error(Meter),4.7170000076293945
% End GPS vertical error(Meter),6.8600001335144043
% End GPS number of satellites,8
% Cast duration (Seconds),38.6
% Samples per second,5
% Electronics calibration date,0001-01-01
% Conductivity calibration date,2023-07-20
% Temperature calibration date,2023-07-19
% Pressure calibration date,2023-06-26
% 
Pressure (Decibar),Depth (Meter),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),Specific conductance (MicroSiemens per Centimeter),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter)
0.15,0.14908239968452294,13.4148559498737,39885.141146740658,51913.69349241539,33.602620999697834,1499.9175943800251,1025.228647397478
0.44999999999999996,0.44722087943754979,13.341332402078276,39883.433267982276,52011.016270551423,33.665844218343068,1499.7540794393331,1025.2937508250125
0.74999999999999989,0.74534546959957115,13.246736596597611,39861.719407804041,52111.268770771545,33.729085282828635,1499.5203559368069,1025.3630709873739
1.05,1.0434572389881223,13.228426444762521,39864.1126040849,52139.358471484346,33.747483111760332,1499.486317757857,1025.38232970304
1.35,1.3415606558519613,13.20295757895356,39884.217470892487,52200.431587612409,33.789003032699306,1499.4558353179434,1025.4209204978952
1.65,1.63965340650989,13.163743384850575,39882.900138921592,52252.342932839041,33.822560774000536,1499.3702386811335,1025.456099743089
1.9500000000000002,1.9377378629916819,13.144006971322206,39887.610027461858,52285.553084984676,33.84449572483507,1499.3355500807832,1025.4783750311096
2.25,2.2358179922821559,13.133136418452146,39883.456557860372,52295.012033892483,33.850139551857339,1499.3110419820982,1025.4862621724965
2.55,2.5338959709439042,13.118929929833971,39874.447662804763,52302.684960205072,33.854164744608326,1499.2735137560671,1025.4935622378837
2.85,2.8319692039671112,13.103239872159513,39888.771942261053,52343.018698793327,33.881629188943045,1499.25877636468,1025.5193057127444
3.15,3.1300379232887994,13.09533930875433,39885.244975885988,52349.244946507592,33.885223866283546,1499.2416957636299,1025.5250102461796
3.4499999999999997,3.4281033877143519,13.093433917117347,39904.503757823186,52377.141746588553,33.905060040601249,1499.2637905273755,1025.5420929198206
3.75,3.72616601020851,13.090200393274323,39902.775342808629,52379.31926167335,33.906189165098056,1499.2593205082521,1025.54495591571
4.05,4.0242269393180177,13.087967883639221,39910.867059381526,52393.011857854115,33.915734096502952,1499.2681443971314,1025.5541354348588
4.3758588652536652,4.34797749906036,13.093005379590913,39921.26998522965,52399.73794062763,33.920953504652964,1499.296470113432,1025.5586289086107
