% Device,CC2325001
% File name,CC2325001_20240612_103700
% Cast time (UTC),2024-06-12 10:37:00
% Cast time (local),2024-06-12 11:37:00
% Sample type,Cast
% Cast data,Processed
% Location source,GPS
% Default latitude,32
% Default altitude,0
% Start latitude,53.8411106
% Start longitude,-9.7470407
% Start altitude,65.3479995727539
% Start GPS horizontal error(Meter),4.9210000038146973
% Start GPS vertical error(Meter),5.2389998435974121
% Start GPS number of satellites,10
% End latitude,53.8411749
% End longitude,-9.7469999
% End altitude,60.116001129150391
% End GPS horizontal error(Meter),16.711000442504883
% End GPS vertical error(Meter),17.561000823974609
% End GPS number of satellites,9
% Cast duration (Seconds),98.2
% Samples per second,5
% Electronics calibration date,0001-01-01
% Conductivity calibration date,2023-07-20
% Temperature calibration date,2023-07-19
% Pressure calibration date,2023-06-26
% 
Pressure (Decibar),Depth (Meter),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),Specific conductance (MicroSiemens per Centimeter),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter)
0.15,0.1490080350247128,13.744600449364308,41003.86328125,52915.5841145379,34.358423551651342,1501.8920757587905,1025.7457612231212
0.44999999999999996,0.44700584072144789,13.743923274704775,41000.115400579765,52911.6722509979,34.355399370667428,1501.8912612332413,1025.7449015166367
0.74999999999999989,0.74500911055213259,13.744909812984181,41007.491498114323,52919.8437885793,34.361292999784006,1501.9063845651945,1025.7505933696764
1.05,1.0430107634569574,13.741508963318,41009.594365644072,52927.203228549493,34.366190490960982,1501.9059955595824,1025.7564223558709
1.35,1.3410114670745899,13.737480786526731,41004.376499523743,52925.972039185181,34.364799101981937,1501.8961499590268,1025.7575181231146
1.65,1.6390106116937446,13.729361501273388,41006.4021188569,52939.682619746585,34.373863561044558,1501.8852405236805,1025.7675446526628
1.9500000000000002,1.937007995175694,13.711959908853364,40986.461690385528,52937.724913550534,34.370698955179741,1501.8295665467438,1025.7700320445222
2.25,2.2350051151693444,13.702935747065419,40973.126518167781,52932.8405291251,34.366190883337772,1501.7996950000309,1025.7697482836998
2.55,2.5330015804511614,13.694968807731941,40968.651123337317,52937.956000046,34.369032260099573,1501.7819329334607,1025.7749290475697
2.85,2.830995894902824,13.678800560983232,40960.646599350206,52949.737330620279,34.375939163017733,1501.7421097922093,1025.7849453718409
3.15,3.1289882349714628,13.650901275444205,40929.716886027949,52947.946277298746,34.37190009701208,1501.6509431670563,1025.7889115036473
3.4499999999999997,3.4269795050035352,13.6180521265964,40892.419240384574,52944.694240833815,34.366327096755754,1501.5416715288056,1025.7927018916537
3.75,3.7249712075730437,13.586363412041518,40842.595948003422,52923.61385791775,34.347929573276637,1501.4209920851167,1025.786323313296
4.05,4.0229644664089479,13.560636643394227,40803.556262393278,52908.30211096019,34.334271458022755,1501.3253866113814,1025.7823772283632
4.35,4.3209573401441812,13.547313621840452,40794.945547730975,52915.419668333314,34.338040832213281,1501.2910299381338,1025.7893642732277
4.6499999999999995,4.6189467677838305,13.530373209315975,40795.793049871441,52939.7844503719,34.353962700494058,1501.2591069789985,1025.8064923643694
4.9499999999999993,4.9169332770016139,13.519814037607144,40785.6122300357,52941.081426582743,34.353771662964135,1501.2291334372926,1025.8098467149171
5.2499999999999991,5.2149174392129884,13.516400452378784,40797.804286350467,52961.600522344219,34.36819152018262,1501.2398824975167,1025.8230412059568
5.55,5.5129000164456787,13.513499737771724,40789.90303408882,52955.331652299232,34.363246485934035,1501.2294699639726,1025.8211490019462
5.85,5.8108818845964461,13.511142003682895,40795.116112490839,52965.341963358973,34.370150957336257,1501.2348227392438,1025.8283130313826
6.1499999999999995,6.1088628010524273,13.511362359931278,40793.377026406182,52962.781016608751,34.368190987926496,1501.2381928802984,1025.8280912371135
6.4499999999999993,6.4068434040400843,13.509901734210551,40793.664788839582,52965.163440809607,34.369653014206214,1501.2400736403263,1025.8308610125391
6.7499999999999991,6.7048232450183907,13.508290464847912,40793.898710532369,52967.683345708196,34.371200236075438,1501.2415594481408,1025.8337275270883
7.0499999999999989,7.0028030981069049,13.507664053483314,40787.898531807215,52960.754091908668,34.365993689640057,1501.2383145401218,1025.8311673174012
7.35,7.300782308731633,13.506272432918642,40794.595323844085,52971.363814703051,34.373424533524982,1501.2474646196965,1025.8385407652886
7.6499999999999995,7.5987599212634516,13.503721520270236,40795.248512406186,52975.7214389388,34.376213597462957,1501.2473254136698,1025.8425603516428
7.9499999999999993,7.8967373905261056,13.501376206962352,40787.00522142047,52968.243267684542,34.37044481235538,1501.2377636627134,1025.8399169080253
8.25,8.1947149752261339,13.501107034508001,40788.038876424449,52969.955954599835,34.37153516061521,1501.2431231844641,1025.8421552114392
8.5499999999999989,8.49269232545204,13.499907795913014,40784.524643719458,52967.041973083593,34.369183677915167,1501.2413624815195,1025.841921031624
8.85,8.7906697005852212,13.499891093787591,40783.418256283694,52965.628080522773,34.368032410665869,1501.2449071845531,1025.8423734028331
